1,"Hà Nội","HN"
2,"Hồ Chí Minh","SG"
3,"Đà Nẵng","DN"
4,"Cần Thơ","CT"
5,"Hải Phòng","HP"
6,"Hải Dương","HD"
7,"Bình Dương","BD"
8,"Bình Phước","BP"
9,"Bình Thuận","BT"
10,"Bắc Giang","BG"
11,"Bắc Kạn","BK"
12,"Bạc Liêu","BL"
13,"Bắc Ninh","BN"
14,"Bến Tre","BT"
15,"Bình Định","BD"
16,"Bình Phước","BP"
17,"Cao Bằng","CB"
18,"Cà Mau","CM"
19,"Cần Thơ","CT"
20,"Đắk Lắk","DL"
21,"Đắk Nông","DN"
22,"Điện Biên","DB"
23,"Đồng Nai","DN"
24,"Đồng Tháp","DT"
25,"Gia Lai","GL"
26,"Hà Giang","HG"
27,"Hà Nam","HN"
28,"Hà Tĩnh","HT"
29,"Hải Dương","HD"
30,"Hòa Bình","HB"
31,"Hưng Yên","HY"
32,"Khánh Hòa","KH"
33,"Kiên Giang","KG"
34,"Kon Tum","KT"
35,"Lai Châu","LC"
36,"Lâm Đồng","LD"
37,"Lạng Sơn","LS"
38,"Lào Cai","LC"
39,"Long An","LA"
40,"Nam Định","ND"
41,"Nghệ An","NA"
42,"Ninh Bình","NB"
43,"Ninh Thuận","NT"
44,"Phú Thọ","PT"
45,"Phú Yên","PY"
46,"Quảng Bình","QB"
47,"Quảng Nam","QN"
48,"Quảng Ngãi","QN"
49,"Quảng Ninh","QN"
50,"Quảng Trị","QT"
51,"Sóc Trăng","ST"
52,"Sơn La","SL"
53,"Tây Ninh","TN"
54,"Thái Bình","TB"
55,"Thái Nguyên","TN"
56,"Thanh Hóa","TH"
57,"Thừa Thiên - Huế","TT-H"
58,"Tiền Giang","TG"
59,"Trà Vinh","TV"
60,"Tuyên Quang","TQ"
61,"Vĩnh Long","VL"
62,"Vĩnh Phúc","VP"
63,"Yên Bái","YB"
64,"Phú Quốc","PQ"
